PILE;suggestion;path;title;lines;last_commit;age_days;commits;authors;refs;code_refs;orphan;stale;dup
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\02-supabase-best-practices.md;Vague 2 — Audit Supabase Best Practices;280;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\03-accounting-audit.md;Vague 3 — Audit Comptable (JE Matrix + SAK EMKM);340;2026-05-20;56;1;1;3;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\04-security-review.md;Vague 4 — Security Review (RBAC + RLS + Auth + EFs);392;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\05-ux-design-audit.md;Vague 5 — UX/UI Backoffice Audit;348;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\06-completeness-audit.md;Vague 6 — Complétude Fonctionnelle V3 vs Vision V2;1029;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-12-inv-02-rpcs-core.md;Session 12 — Phase 2 sub-plan : RPCs core (closing the gap);127;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-12-inv-03-transfers.md;Session 12 — Phase 3 sub-plan : Transfers (inter-section);465;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-13-session-13-phase-2.C-promotions-bogo.md;Phase 2.C — Promotions BOGO + threshold engine (sub-plan);157;2026-06-04;41;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-13-session-13-phase-5.A-lan-port.md;Session 13 — Phase 5.A — LAN architecture port (sub-plan);109;2026-06-04;41;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-13-session-13-phase-5.C-settings-ui.md;Session 13 — Phase 5.C — Settings UI + holidays/templates;172;2026-06-04;41;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-15-session-15-INDEX.md;Session 15 — INDEX (Bakery Production : F6 + F5 + Recipe pro);424;2026-06-04;41;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-17-INDEX.md;Session 17 — INDEX (Full Price Chain : PO → Cost → Recipe Cascade → Snapshot History);1324;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-18-INDEX.md;Session 18 — INDEX (Recipe Cost History Report);1090;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-19-INDEX.md;Session 19 — INDEX (Hardening polish: durable rate-limit + session timeout per role + PIN strength warn);2404;2026-06-04;41;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-20-INDEX.md;Session 20 — INDEX (Defense-in-depth GRANT hardening);1075;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-18-session-21-INDEX.md;Session 21 — INDEX (Polish hardening reliquat);474;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-18-session-22-INDEX.md;Session 22 — INDEX (Focus-trap lock-in + dette technique ciblée);474;2026-06-04;41;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-19-session-25-INDEX.md;Session 25 — INDEX (Hardening Idempotency Cross-EF);1059;2026-06-04;41;1;1;5;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-20-session-27-INDEX.md;Session 27 — INDEX (Product CRUD : update flow MVP);105;2026-06-04;41;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-20-session-27b-INDEX.md;Session 27b — INDEX (Product CRUD : create + categories management);103;2026-06-04;41;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-22-session-31-INDEX.md;Session 31 — Reports Drill-Down + 3 detail pages — INDEX;183;2026-06-04;41;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-22-session-31-plan.md;Session 31 — Reports Drill-Down + 3 detail pages Implementation Plan;1611;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-23-session-26b-INDEX.md;Session 26b — INDEX (Comptable Cockpit UI core);174;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-27c-INDEX.md;Session 27c — INDEX (Product Variants);299;2026-06-04;41;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-27c-plan.md;Session 27c — Product Variants Implementation Plan;3381;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-28-INDEX.md;Session 28 — INDEX (Expense Governance);289;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-28-plan.md;Session 28 — Expense Governance Implementation Plan;2518;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-29-INDEX.md;Session 29 — Reports Export + Z-Report PDF (Vague A) — INDEX;368;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-29-plan.md;Session 29 — Reports Export + Z-Report PDF (Vague A) Implementation Plan;2505;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-30-INDEX.md;Session 30 — Vague B : 5 bakery reports — INDEX;294;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-24-session-30-plan.md;Session 30 — Vague B : 5 reports métier bakery Implementation Plan;333;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-26-session-32-INDEX.md;Session 32 — Reports Vague C close-out drill-down + /backoffice/orders list — INDEX;218;2026-06-04;41;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-26-session-32-plan.md;Session 32 — Reports Vague C close-out drill-down + /backoffice/orders list Implementation Plan;2715;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-29-session-33-INDEX.md;Session 33 — Orders v2 : server-side filters + realtime + void + edit-items — INDEX;209;2026-06-04;41;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-29-session-33-plan.md;Session 33 — Orders v2 Implementation Plan;2595;2026-06-04;41;1;1;3;0;non;non;non
;archive;CHANGELOG.md;Changelog;75;2026-06-12;33;2;2;9;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-19-session-24-INDEX.md;Session 24 — INDEX (B2B Foundation);470;2026-06-12;33;2;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-27-backoffice-menu-reorg-addendum-collapsible.md;Backoffice Menu Reorg — Addendum : Collapsible Subgroups;150;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-27-backoffice-menu-reorg-plan.md;Backoffice Menu Reorg — Implementation Plan;797;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-29-session-35-INDEX.md;Session 35 — POS Service Polish — INDEX;72;2026-06-12;33;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-29-session-35-plan.md;Session 35 — POS Service Polish — Implementation Plan;2045;2026-06-12;33;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-30-pos-display-stock-isolation-plan.md;Isolation du stock vitrine POS — Implementation Plan;2106;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-pos-cash-drawer-error-toast-plan.md;POS Cash Drawer Error Toast Implementation Plan;466;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-pos-claudemd-doc-sync-plan.md;CLAUDE.md doc sync (stale RPC versions) Implementation Plan;300;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-pos-paymentterminal-refactor-plan.md;POS PaymentTerminal Refactor Implementation Plan;1540;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-pos-realtime-channel-uniqueness-fix-plan.md;POS Realtime Channel Uniqueness Fix Implementation Plan;709;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-pos-receipt-payment-method-fix-plan.md;POS Receipt Payment Method Fix Implementation Plan;437;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-pos-refund-test-investigation-plan.md;POS Refund Modal C2 Timeout Investigation Implementation Plan;614;2026-06-12;33;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-01-session-34-station-printing-INDEX.md;Session 34 — Station Ticket Printing — INDEX;169;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-01-session-34-station-printing-plan.md;Session 34 — Station Ticket Printing Implementation Plan;118;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-04-session-36-INDEX.md;Session 36 — POS Correctness & Security Close-out — INDEX;139;2026-06-12;33;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-11-session-37-INDEX.md;Session 37 — Fraud Hardening & Correctness Close-out — INDEX;158;2026-06-12;33;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-11-session-37-plan.md;Session 37 — Fraud Hardening & Correctness Close-out — Implementation Plan;357;2026-06-12;33;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-11-session-38-INDEX.md;Session 38 — INDEX (close-out);117;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-11-session-38-plan.md;Session 38 Implementation Plan — PIN Lockout + Split-Bill étendu + Tests E2E;453;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-11-session-39-INDEX.md;Session 39 — INDEX : Backoffice Completion Bundle (BO-04 / BO-09 / BO-10 / BO-15);64;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-11-session-39-plan.md;Session 39 Implementation Plan — Backoffice Completion Bundle (BO-04 / BO-09 / BO-10 / BO-15);660;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-12-session-40-INDEX.md;Session 40 — INDEX : Reports close-out — les 9 cards « Soon » du hub;85;2026-06-12;33;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-12-session-40-plan.md;Session 40 — Plan : Reports close-out — les 9 cards « Soon » du hub;516;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\refs\archive\2026-05-14-session-13-wave-5-deviations.md;Session 13 — Wave 5 Deviation Pack;904;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\refs\archive\2026-05-19-session-25-preflight.md;Session 25 — Phase 1.A.0 — Pre-flight DB introspection (2026-05-19);328;2026-06-12;33;1;1;1;0;non;non;non
;archive;docs\workplan\2026-06-26-claude-md-workplan-archive.md;CLAUDE.md « Active Workplan » — archive des bullets mergés (au 2026-06-26);27;2026-06-26;19;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-06-27-project-state-and-gaps-findings.md;Annexe — findings bruts par domaine (audit 2026-06-27);432;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-12-session-41-INDEX.md;Session 41 — INDEX : Import / Export du catalogue (produits + recettes);66;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-12-session-41-plan.md;Session 41 — Plan : Import / Export du catalogue (produits + recettes);1992;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-12-session-42-catalog-import-minors-plan.md;Session 42 — Plan : Catalog Import/Export polish (8 Minors S41 Wave B);520;2026-06-27;18;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-12-session-43-pos-audit-fixes-plan.md;Session 43 — POS Live Audit Fixes — Implementation Plan;1495;2026-06-27;18;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-13-session-44-money-path-hardening-plan.md;Session 44 — Money-Path Hardening — Implementation Plan;1078;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-13-session-45-INDEX.md;Session 45 — INDEX : Products page — finir les actions catalogue (boutons morts);51;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-13-session-45-products-actions-plan.md;Session 45 — Plan : Products page — finir les actions catalogue;133;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-18-session-46-INDEX.md;Session 46 — INDEX : Purchasing Hardening (page Backoffice Achats);127;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-18-session-46-purchasing-hardening-plan.md;Session 46 — Plan : Purchasing Hardening (page Backoffice Achats);162;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-19-session-47-configurable-combos-plan.md;Configurable Combos Implementation Plan;619;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-19-session-47-INDEX.md;Session 47 — Configurable Combos — INDEX;84;2026-06-27;18;1;1;1;0;non;non;non
;archive;docs\superpowers\plans\archive\2026-06-19-product-modifiers-editor-plan.md;Product Modifiers Editor (Backoffice) — Implementation Plan;1661;2026-06-28;17;1;1;0;0;oui;non;non
;archive;docs\superpowers\plans\archive\2026-06-20-product-modifiers-phase2-stock-deduction-plan.md;Product Modifiers Phase 2 — Order-time Ingredient Stock Deduction — Implementation Plan;641;2026-06-28;17;1;1;0;0;oui;non;non
;archive;docs\superpowers\plans\archive\2026-06-21-unify-recipe-editor-into-product-tab-plan.md;Unify Recipe Editor into the Product Recipe Tab — Implementation Plan;1101;2026-06-28;17;1;1;0;0;oui;non;non
;archive;docs\superpowers\plans\archive\2026-06-23-bulk-import-master-data.md;Bulk Import — Master Data (Suppliers + Customers) Implementation Plan;1683;2026-06-28;17;1;1;1;0;non;non;non
;archive;docs\superpowers\plans\archive\2026-06-26-stock-tracking-deduct-flags.md;Câblage `track_inventory` / `deduct_stock` + réglage global « stock négatif » — Implementation Plan;1323;2026-06-28;17;1;1;0;0;oui;non;non
;archive;docs\superpowers\plans\2026-07-02-session-55-ef-hardening-p15.md;S55 — P1.5 (T7) Durcissement EF restant : plan d'implémentation;457;2026-07-03;12;1;1;1;0;non;non;non
;archive;docs\superpowers\plans\2026-07-03-session-56-deferred-ui-audit-consolidation.md;S56 — UI déférées + consolidation audit : plan d'implémentation;1088;2026-07-03;12;1;1;1;0;non;non;non
;archive;docs\superpowers\plans\2026-07-03-session-57-p2-governance-ux.md;Session 57 — Plan d'exécution : P2 restant (gouvernance promos/combos, UX POS/BO, outillage, marge brute);99;2026-07-03;12;1;1;1;0;non;non;non
;archive;docs\_archive\backlog-by-module-fige-S14-S30\11-expenses.md;Travail — Expenses;228;2026-07-04;11;1;1;13;0;non;non;non
;archive;docs\_archive\backlog-by-module-fige-S14-S30\20-users-rbac.md;Travail — Users & RBAC;271;2026-07-04;11;1;1;7;0;non;non;non
;archive;docs\_archive\backlog-by-module-fige-S14-S30\23-tests.md;Travail — Tests;189;2026-07-04;11;1;1;5;0;non;non;non
;archive;docs\_archive\backlog-by-module-fige-S14-S30\24-deployment-ops.md;Travail — Deployment & Operations;191;2026-07-04;11;1;1;2;0;non;non;non
;archive;docs\_archive\backlog-by-module-fige-S14-S30\_ARCHIVE-NOTE.md;🗄️ Archivé le 2026-07-04 (remise à plat);6;2026-07-04;11;1;1;0;0;oui;non;non
;archive;docs\design-audits\POS-payment-caisse-2026-06-25.md;Audit design POS — payment (CAISSE) — 2026-06-25;126;2026-07-04;11;1;1;1;0;non;non;non
;archive;docs\superpowers\plans\2026-07-06-session-62-purges-actees-plafond-ardoise.md;Session 62 — Purges actées + plafond ardoise serveur : Implementation Plan;245;2026-07-06;9;1;1;1;0;non;non;non
;archive;docs\workplan\plans\2026-07-08-session-68-INDEX.md;Session 68 — INDEX : Facture PDF B2B (Vague 2, fiche 09 D2);63;2026-07-08;7;1;1;4;0;non;non;non
;archive;docs\workplan\audits\2026-07-09-audit-general-gouvernance.md;Audit général de gouvernance — documentation, config projet & config Claude;252;2026-07-09;6;1;1;4;0;non;non;non
;archive;docs\workplan\plans\2026-07-08-session-70-INDEX.md;Session 70 — Rapport des écarts de caisse par caissier (fiche 12 D2.4) — INDEX;50;2026-07-09;6;1;1;4;0;non;non;non
;archive;docs\audit\2026-07-10-pos-flow-audit.md;Audit du parcours POS commande→paiement — 2026-07-10 (S72);86;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\2026-07-09-session-71-audit-remediation-INDEX.md;INDEX — Remédiation de gouvernance documentaire (S71);56;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\2026-07-09-session-71-audit-remediation-plan.md;Plan — Remédiation de gouvernance documentaire (S71);82;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\2026-07-09-session-71-e2e-triage.md;S71 — Rapport de triage E2E (matrice pass/fail réelle);73;2026-07-10;5;1;1;2;0;non;non;non
;archive;docs\workplan\plans\2026-07-09-session-71-INDEX.md;Session 71 — INDEX (E2E nightly : infra + réparation spec-par-spec + armement cron);68;2026-07-10;5;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-02-database.md;Phase 2 — Database (Supabase migrations + RPC + seed);1193;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-03-edge-functions.md;Phase 3 — Edge Functions Deno;1051;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-04-shared-packages.md;Phase 4 — Shared Packages (utils, domain, ui, supabase);1983;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-05-app-pos.md;Phase 5 — App POS (Auth + Shift + Cart + Payment);1665;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-06-app-backoffice.md;Phase 6 — App Backoffice (Login + Layout + Products List);664;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-07-ci-finalize.md;Phase 7 — CI + Finalisation;538;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-03-breakery-bootstrap-pos-vertical-INDEX.md;Breakery Bootstrap + POS Vertical — Master Plan (Index);72;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-07-session-8-promotions-engine.md;Session 8 — Promotions Engine Implementation Plan;3038;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-11-bo-loyalty.md;BO Loyalty Management Implementation Plan;2172;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-11-session-12-inventory-mvp.md;Session 12 — Inventory MVP Implementation Plan — **SUPERSEDED**;861;2026-07-10;5;2;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-purchasing-complete-INDEX.md;Purchasing & Suppliers **Complete** — Implementation Plan INDEX;397;2026-07-10;5;2;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-11-01-suppliers.md;Session 11 — Phase 01 — Suppliers CRUD Implementation Plan;881;2026-07-10;5;2;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-11-02-restaurant-tables.md;Session 11 — Phase 02 — Restaurant Tables CRUD Implementation Plan;807;2026-07-10;5;2;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-11-03-customer-categories.md;Session 11 — Phase 03 — Customer Categories CRUD Implementation Plan;1002;2026-07-10;5;2;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-11-04-categories.md;Session 11 — Phase 04 — Categories CRUD Implementation Plan;923;2026-07-10;5;2;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-28-session-31-plan.md;Session 31 — POS Critical Fixes Implementation Plan;380;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-28-session-32-plan.md;Session 32 — POS Service Polish Implementation Plan;416;2026-07-10;5;2;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-06-27-session-50-plan.md;Session 50 — Plan — Vague 1 (waves + ownership);67;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-27-session-50-vague2a-isolated-plan.md;Session 50 — Vague 2a (tranche isolée) — Plan d'exécution;57;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-28-session-51-INDEX.md;Session 51 — INDEX — Vague 2a money-path « prix-ligne canonique serveur »;97;2026-07-10;5;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-06-29-session-52-INDEX.md;Session 52 — INDEX — B2B per-invoice settlement (P1.2);124;2026-07-10;5;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-02-session-53-INDEX.md;Session 53 — INDEX : P1.4 « Unification de la déduction stock à la vente »;67;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-02-session-54-INDEX.md;Session 54 — INDEX : P1.3 « Correctness compta (T6/C10) »;52;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-02-session-55-INDEX.md;Session 55 — INDEX : P1.5 « Durcissement EF restant (T7) »;59;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-03-session-56-INDEX.md;Session 56 — INDEX : UI déférées (DEV-S54-01, DEV-S52-03) + consolidation audit (P2.2);65;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-03-session-57-INDEX.md;Session 57 — INDEX : P2 restant (gouvernance promos/combos, UX POS/BO, outillage, marge brute);90;2026-07-10;5;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-04-session-58-INDEX.md;Session 58 — INDEX — Remise à plat Vague 0 : réparer ce qui trompe l'exploitant;56;2026-07-10;5;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-04-session-59-INDEX.md;Session 59 — INDEX — Remise à plat Vague 1, lot 1 : réparer les 2 findings S58 + quick wins de câblage « UI pures »;90;2026-07-10;5;1;1;15;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-05-session-60-INDEX.md;Session 60 — INDEX — Remise à plat Vague 1, lot 2 : les 6 quick wins « sous règle money-path »;73;2026-07-10;5;1;1;7;0;non;non;non
;archive;docs\workplan\plans\archive\2026-07-05-session-61-INDEX.md;Session 61 — INDEX (2026-07-05);42;2026-07-10;5;1;1;4;0;non;non;non
